person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Aaron Galloway,,1996-97,1996-97,1,1996-97,Sophomore Off-Campus representative,Sophomore Off-Campus representative (1996-97),OCR renders the surname 'Gallowy' in one document.,"SGA Meeting Minutes, 1 Oct 1996"
Aaron High,,1997-98,1997-98,1,1997-98,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98)","Recorded absent from the Congress meeting of 7 Oct 1997, against a roster the minutes do not print in full.","SGA Meeting Minutes, 7 Oct 1997"
Aaron Pawley,,2009-10,2010-11,2,2009-10; 2010-11,Associate Justice,Associate Justice (2010-11); Director of Academic and Student Affairs (2009-10),"Aaron Pawley served as SGA's Director of Academic and Student Affairs in 2009-10, then resigned his Senate seat at the meeting of 27 January 2010, citing a difficult course load; it is not established from the record whether he kept the cabinet post afterward. He returned to SGA the next year, appointed to the Judicial Council as an associate justice on 29 March 2011, in the same Senate vote that made Art Scisney chief justice. Appointed to the Judicial Council on 29 March 2011 in the same senate vote that made Scisney chief justice.","Herald, 29 Mar 2011; SGA senate minutes, 20 Oct 2009"
Aaron Smither,,2002-03,2002-03,1,2002-03,Congress member,Congress member (2002-03),"One of three new Congress members sworn in, 8 October 2002.","SGA Meeting Minutes, 8 Oct 2002"
Aaron Spencer,,2001-02,2001-02,1,2001-02,Vice President of Finance,Vice President of Finance (2001-02),"Aaron Spencer served as vice president of finance of the Student Government Association for 2001-02. The Herald reported him and fellow incoming vice president Jamil Sewell preparing for their new executive offices on 10 April 2001, and he was named in the officer roll call at the 28 August 2001 Congress meeting that opened the year.","SGA Meeting Minutes, August 28, 2001"
Aaron Sutherland,,2005-06,2005-06,1,2005-06,Senator; Public Relations Committee vice-chair,Senator; Public Relations Committee vice-chair (2005-06),Sworn in as a Senator 27 Sep 2005; questioned the Dialogue Day bill 27 Sep 2005 and was appointed Public Relations Committee vice-chair 8 Nov 2005.,"SGA Meeting Minutes, 27 Sep 2005"
Abbey Norvell,,2019-20,2021-22,3,2019-20; 2020-21; 2021-22,Executive Vice President,Executive Vice President (2020-21); Associate Justice (2021-22); Director of Academic and Student Affairs (2019-20),"Confirmed unanimously; a former at-large senator who had sat on the Organizational Aid and Public Relations committees. She built the scholarship grading rubric, worked with the President on a need- and service-based Earn-a-Computer programme, and co-authored Bill 10-20-S allocating $12,500 in SGA scholarships in the spring. Abbey Norvell served on the SGA executive branch for two years. Confirmed director of academic and student affairs in September 2019 — a former at-large senator who had sat on the Organizational Aid and Public Relations committees — she built the scholarship grading rubric and in November 2019 reported a record 398 scholarship applications. In 2020-21 she was elected on the Edmonds-Norvell ticket, which defeated MJ Mayo at a virtual election party in September 2020 after her running-mate slot opened when Nathan Terrell left the ticket. The Herald's election story called her administrative vice president and no decision had then been made on a separate executive vice president post; from October 2020 through March 2021 the Senate minutes headed her reports ""Executive Vice President Abbey Norvell"", with Isaac Keller confirmed administrative vice president that October. She sent out the Faculty Senate application form, tracked which senators sat on university committees, and appointed members to the Faculty Senate. Listed on the Judicial Council in the SGA judicial page as archived 21 Jan 2022.","SGA Senate minutes, 3 Sep 2019; WKU SGA, Senate minutes, 20 Oct 2020; Wayback capture, wku.edu/sga Judicial Council, 21 Jan 2022"
Abby Lovan,,2003-04,2004-05,2,2003-04; 2004-05,Vice President of Public Relations,Vice President of Public Relations (2003-04); Director of Public Relations (2004-05),"Confirmed at all four meetings checked in 2003-04. Withdrew her name from the Speaker of the Senate race on 13 April 2004. Abby Lovan, a junior from Jeffersonville, Indiana, had been in SGA since her first semester at Western, working from committee member up through vice chair and then chair of the public relations committee, and had chaired an ad hoc internal review committee before becoming vice president of public relations. She ran for one of the new senate's elected seats in March 2004 to continue that public relations work, crediting the committee's mailings and information tables with helping turn out opposition to plus/minus grading. She won more votes than any other senate candidate on the ballot, 555. Lovan continued into 2004-05 as Director of Public Relations, the title her office took under the new constitution.","SGA minutes, 2 Sep 2003; WKU SGA executive officer profiles, 2004-2005, archived 8 Feb 2005"
Abdullah Raza,,2016-17,2016-17,1,2016-17,Senator,Senator (2016-17),"Raza served on the organizational aid committee and is recorded among its members on Bill 22-16-F, the November 2016 bill that split $1,500 between the S.T.R.I.P.E.S. club, College Youth in Government and the Student Coalition for Renters' Rights.","SGA Bill 22-16-F, 2016-17 session"
Abhishek Bose,,2016-17,2016-17,1,2016-17,Director of Information Technology,Director of Information Technology (2016-17),"Bose served as SGA's Director of Information Technology in 2016-17; the Senate's 13 September 2016 minutes record his report as simply that the SGA website was being updated regularly. That spring the Herald named him the newly elected chair of the Indian Student Association, ahead of its April 2017 Holi festival on the Honors College lawn.","SGA Senate minutes, 13 Sep 2016"
